MonthlyIncome,DebtRatio,age,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime60-89DaysPastDueNotWorse,SeriousDlqin2yrs
9120.0,0.802982129,45,2,0,1
2600.0,0.121876201,40,0,0,0
3042.0,0.085113375,38,1,0,0
3300.0,0.036049682,30,0,0,0
63588.0,0.024925695,49,1,0,0
3500.0,0.375606969,74,0,0,0
5400.0,5710.0,57,0,0,0
3500.0,0.209940017,39,0,0,0
5400.0,46.0,27,0,0,0
23684.0,0.606290901,57,0,0,0
2500.0,0.30947621,30,0,0,0
6501.0,0.53152876,51,0,0,0
12454.0,0.298354075,46,0,0,0
13700.0,0.382964747,40,3,1,1
0.0,477.0,76,0,0,0
11362.0,0.209891754,64,0,0,0
5400.0,2058.0,78,0,0,0
8800.0,0.18827406,53,0,0,0
3280.0,0.527887839,43,0,0,0
333.0,0.065868263,25,0,0,0
12300.0,0.430046338,43,0,0,0
3000.0,0.475841386,38,0,0,1
2500.0,0.241103559,39,0,0,0
7916.0,0.085512189,32,0,0,0
2416.0,0.241621845,58,0,0,0
4676.0,1.595253368,50,0,0,1
8333.0,0.097672186,58,0,0,0
2500.0,0.042383047,69,0,0,0
3400.0,0.011761247,24,0,0,0
5500.0,0.436102527,58,2,0,0
4200.0,0.155201143,28,1,0,0
750.0,0.472703063,24,0,0,0
5400.0,977.0,62,0,0,0
7000.0,0.313812313,57,0,0,0
2230.0,0.257731959,42,2,0,0
11000.0,0.073538769,64,0,0,0
4000.0,0.567858035,50,3,0,0
3400.0,0.134078212,75,1,0,0
1000.0,0.00999001,26,0,0,0
3500.0,0.808340474,52,0,0,0
5700.0,0.539554464,41,1,0,0
5400.0,75.0,81,0,0,0
9250.0,0.048211004,31,0,0,0
3661.0,0.170125614,28,0,0,0
1.0,1687.5,68,0,0,0
16800.0,0.177787036,70,0,0,0
3133.0,0.011167837,62,0,0,0
1937.0,0.689370485,31,0,0,0
13000.0,0.393662026,38,0,0,0
